Chromosome/scaffold name,Strand,Transcript start (bp),Transcript end (bp),5' UTR end,3' UTR start,Gene stable ID,Gene name,Transcript stable ID,Protein stable ID
I,1,4691803,4693738,4691926,4693229,SPAC1834.01,sup45,SPAC1834.01.1,SPAC1834.01.1:pep
II,1,1620799,1620937,,,SPNCRNA.369,SPNCRNA.369,SPNCRNA.369.1,
III,-1,668412,671378,671378,,SPCC16C4.06c,pus3,SPCC16C4.06c.1,SPCC16C4.06c.1:pep
III,-1,668412,671378,671166,,SPCC16C4.06c,pus3,SPCC16C4.06c.1,SPCC16C4.06c.1:pep
III,-1,668412,671378,,668412,SPCC16C4.06c,pus3,SPCC16C4.06c.1,SPCC16C4.06c.1:pep
II,-1,1649990,1650658,1650658,,SPBC21B10.11,dpm2,SPBC21B10.11.1,SPBC21B10.11.1:pep
II,-1,1649990,1650658,,1649990,SPBC21B10.11,dpm2,SPBC21B10.11.1,SPBC21B10.11.1:pep
I,1,4693681,4698606,4693770,4698493,SPAC1834.02,aro1,SPAC1834.02.1,SPAC1834.02.1:pep
III,-1,691089,691690,691690,691089,SPCC16C4.13c,rpl1201,SPCC16C4.13c.1,SPCC16C4.13c.1:pep
II,-1,1669649,1670399,1670399,1669649,SPBC21B10.02,SPBC21B10.02,SPBC21B10.02.1,SPBC21B10.02.1:pep
III,-1,691825,694903,694903,,SPCC16C4.14c,sfc4,SPCC16C4.14c.1,SPCC16C4.14c.1:pep
I,1,4699691,4700560,4699828,4700240,SPAC1834.04,hht1,SPAC1834.04.1,SPAC1834.04.1:pep
I,1,4722806,4724645,4723017,,SPAC17D4.01,pex7,SPAC17D4.01.1,SPAC17D4.01.1:pep
I,1,4722806,4724645,,,SPAC17D4.01,pex7,SPAC17D4.01.1,SPAC17D4.01.1:pep
I,1,4722806,4724645,,4724401,SPAC17D4.01,pex7,SPAC17D4.01.1,SPAC17D4.01.1:pep
II,1,1673950,1675523,1674065,,SPBC19C2.02,pmt1,SPBC19C2.02.1,SPBC19C2.02.1:pep
II,1,1673950,1675523,,1675103,SPBC19C2.02,pmt1,SPBC19C2.02.1,SPBC19C2.02.1:pep
III,-1,699064,701735,701735,,SPCC16C4.18c,taf6,SPCC16C4.18c.1,SPCC16C4.18c.1:pep
III,-1,699064,701735,,699064,SPCC16C4.18c,taf6,SPCC16C4.18c.1,SPCC16C4.18c.1:pep
III,1,708064,709145,708196,,SPCPJ732.03,meu15,SPCPJ732.03.1,SPCPJ732.03.1:pep
III,1,708064,709145,708339,,SPCPJ732.03,meu15,SPCPJ732.03.1,SPCPJ732.03.1:pep
III,1,708064,709145,,,SPCPJ732.03,meu15,SPCPJ732.03.1,SPCPJ732.03.1:pep
III,1,708064,709145,,708891,SPCPJ732.03,meu15,SPCPJ732.03.1,SPCPJ732.03.1:pep
II,-1,1685238,1688060,1688060,1685238,SPBC19C2.06c,mug124,SPBC19C2.06c.1,SPBC19C2.06c.1:pep
I,1,4729678,4732140,4729750,,SPAC17D4.04,trm401,SPAC17D4.04.1,SPAC17D4.04.1:pep
I,1,4729678,4732140,,,SPAC17D4.04,trm401,SPAC17D4.04.1,SPAC17D4.04.1:pep
I,1,4729678,4732140,,,SPAC17D4.04,trm401,SPAC17D4.04.1,SPAC17D4.04.1:pep
I,1,4729678,4732140,,,SPAC17D4.04,trm401,SPAC17D4.04.1,SPAC17D4.04.1:pep
I,1,4729678,4732140,,4731996,SPAC17D4.04,trm401,SPAC17D4.04.1,SPAC17D4.04.1:pep
III,1,729054,730829,729132,,SPCC18B5.06,dom34,SPCC18B5.06.1,SPCC18B5.06.1:pep
III,1,729054,730829,,,SPCC18B5.06,dom34,SPCC18B5.06.1,SPCC18B5.06.1:pep
III,1,729054,730829,,,SPCC18B5.06,dom34,SPCC18B5.06.1,SPCC18B5.06.1:pep
III,1,729054,730829,,,SPCC18B5.06,dom34,SPCC18B5.06.1,SPCC18B5.06.1:pep
III,1,729054,730829,,730523,SPCC18B5.06,dom34,SPCC18B5.06.1,SPCC18B5.06.1:pep
II,1,1688336,1689599,1688366,1689444,SPBC19C2.07,fba1,SPBC19C2.07.1,SPBC19C2.07.1:pep
III,1,765556,767481,,,SPNCRNA.1158,gnr1-antisense-1,SPNCRNA.1158.1,
I,-1,4746022,4748489,4748489,,SPAPYUG7.02c,sin1,SPAPYUG7.02c.1,SPAPYUG7.02c.1:pep
I,-1,4746022,4748489,,,SPAPYUG7.02c,sin1,SPAPYUG7.02c.1,SPAPYUG7.02c.1:pep
I,-1,4746022,4748489,,4746022,SPAPYUG7.02c,sin1,SPAPYUG7.02c.1,SPAPYUG7.02c.1:pep
III,-1,767789,770340,770340,767789,SPCC1020.08,tyw1,SPCC1020.08.1,SPCC1020.08.1:pep
I,-1,4748861,4751456,4751456,4748861,SPAPYUG7.03c,mid2,SPAPYUG7.03c.1,SPAPYUG7.03c.1:pep
II,1,1691270,1694691,1691827,1694531,SPBC19C2.09,sre1,SPBC19C2.09.1,SPBC19C2.09.1:pep
II,-1,1695093,1696776,,,SPNCRNA.1454,SPBC19C2.10-antisense-1,SPNCRNA.1454.1,
I,1,4754130,4754926,4754182,4754789,SPAPYUG7.06,sdu1,SPAPYUG7.06.1,SPAPYUG7.06.1:pep
III,1,773329,774834,773410,,SPCC1020.06c,tal1,SPCC1020.06c.1,SPCC1020.06c.1:pep
III,1,773329,774834,773497,774467,SPCC1020.06c,tal1,SPCC1020.06c.1,SPCC1020.06c.1:pep
III,-1,819849,820157,,,SPCC1393.14,ten1,SPCC1393.14.1,SPCC1393.14.1:pep
III,-1,820567,820637,,,SPCTRNAGLY.11,SPCTRNAGLY.11,SPCTRNAGLY.11.1,
II,1,1700904,1702760,1702181,,SPBC19C2.14,smd3,SPBC19C2.14.1,SPBC19C2.14.1:pep
II,1,1700904,1702760,,,SPBC19C2.14,smd3,SPBC19C2.14.1,SPBC19C2.14.1:pep
II,1,1700904,1702760,,,SPBC19C2.14,smd3,SPBC19C2.14.1,SPBC19C2.14.1:pep
II,1,1700904,1702760,,1702629,SPBC19C2.14,smd3,SPBC19C2.14.1,SPBC19C2.14.1:pep
II,1,1712244,1712906,,,SPNCRNA.1455,SPNCRNA.1455,SPNCRNA.1455.1,
II,-1,1713002,1714577,,,SPNCRNA.1456,cay1-antisense-1,SPNCRNA.1456.1,
III,1,856979,859292,857152,859142,SPCC63.11,prp28,SPCC63.11.1,SPCC63.11.1:pep
II,-1,1733330,1734053,1734053,1733330,SPBC2F12.04,rpl1701,SPBC2F12.04.1,SPBC2F12.04.1:pep
III,1,862399,866807,862711,866267,SPCC63.14,eis1,SPCC63.14.1,SPCC63.14.1:pep
III,1,883332,885688,883391,,SPCC16A11.08,atg20,SPCC16A11.08.1,SPCC16A11.08.1:pep
III,1,883332,885688,,,SPCC16A11.08,atg20,SPCC16A11.08.1,SPCC16A11.08.1:pep
III,1,883332,885688,,885174,SPCC16A11.08,atg20,SPCC16A11.08.1,SPCC16A11.08.1:pep
III,1,895922,896000,,,SPNCRNA.127,SPNCRNA.127,SPNCRNA.127.1,
II,-1,1743968,1744798,1744798,1743968,SPBC1D7.04,mlo3,SPBC1D7.04.1,SPBC1D7.04.1:pep
II,-1,1749626,1751043,,,SPNCRNA.1460,SPNCRNA.1460,SPNCRNA.1460.1,
III,-1,918593,919938,919938,918593,SPCC24B10.10c,yta4,SPCC24B10.10c.1,SPCC24B10.10c.1:pep
II,-1,1771650,1773433,,,SPNCRNA.1462,SPNCRNA.1462,SPNCRNA.1462.1,
III,1,923069,923491,,,SPCC24B10.13,skb5,SPCC24B10.13.1,SPCC24B10.13.1:pep
II,1,1774860,1774932,,,SPBTRNATRP.03,SPBTRNATRP.03,SPBTRNATRP.03.1,
III,1,937803,938567,,,SPCC24B10.20,SPCC24B10.20,SPCC24B10.20.1,SPCC24B10.20.1:pep
II,-1,1775169,1777010,1777010,,SPBC18H10.04c,sce3,SPBC18H10.04c.1,SPBC18H10.04c.1:pep
II,-1,1775169,1777010,,,SPBC18H10.04c,sce3,SPBC18H10.04c.1,SPBC18H10.04c.1:pep
II,-1,1775169,1777010,,,SPBC18H10.04c,sce3,SPBC18H10.04c.1,SPBC18H10.04c.1:pep
II,-1,1775169,1777010,,1775169,SPBC18H10.04c,sce3,SPBC18H10.04c.1,SPBC18H10.04c.1:pep
III,1,940806,944722,941415,944473,SPCC24B10.22,pog1,SPCC24B10.22.1,SPCC24B10.22.1:pep
I,-1,4769991,4771708,4771708,,SPAC1782.09c,clp1,SPAC1782.09c.1,SPAC1782.09c.1:pep
I,-1,4769991,4771708,,,SPAC1782.09c,clp1,SPAC1782.09c.1,SPAC1782.09c.1:pep
II,-1,1854673,1856882,1856882,,SPBC3H7.15,hhp1,SPBC3H7.15.1,SPBC3H7.15.1:pep
II,-1,1854673,1856882,,1854673,SPBC3H7.15,hhp1,SPBC3H7.15.1,SPBC3H7.15.1:pep
III,1,1002762,1008167,1003129,1007516,SPCC895.05,for3,SPCC895.05.1,SPCC895.05.1:pep
I,1,4775688,4777440,4775837,,SPAC11H11.01,sst6,SPAC11H11.01.1,SPAC11H11.01.1:pep
I,1,4775688,4777440,,4777341,SPAC11H11.01,sst6,SPAC11H11.01.1,SPAC11H11.01.1:pep
II,-1,1864777,1865654,1865654,,SPBC3H7.10,elp6,SPBC3H7.10.1,SPBC3H7.10.1:pep
II,-1,1864777,1865654,,,SPBC3H7.10,elp6,SPBC3H7.10.1,SPBC3H7.10.1:pep
II,-1,1869993,1871082,,,SPNCRNA.1470,ser2-antisense-1,SPNCRNA.1470.1,
III,-1,1027501,1029258,1029258,1027501,SPCC825.03c,psy1,SPCC825.03c.1,SPCC825.03c.1:pep
I,1,4780224,4781922,4780687,4781735,SPAC11H11.04,mam2,SPAC11H11.04.1,SPAC11H11.04.1:pep
III,-1,1029207,1030884,1030884,1029207,SPCC825.04c,naa40,SPCC825.04c.1,SPCC825.04c.1:pep
II,1,1870281,1871749,1870333,,SPBC3H7.07c,ser2,SPBC3H7.07c.1,SPBC3H7.07c.1:pep
II,1,1870281,1871749,,1871302,SPBC3H7.07c,ser2,SPBC3H7.07c.1,SPBC3H7.07c.1:pep
III,-1,1053669,1056194,1056194,1053669,SPCC1259.11c,gyp2,SPCC1259.11c.1,SPCC1259.11c.1:pep
I,1,4789418,4791232,4789788,4790941,SPAC22F8.04,pet1,SPAC22F8.04.1,SPAC22F8.04.1:pep
III,-1,1056338,1058386,1058386,,SPCC1259.12c,gid1,SPCC1259.12c.1,SPCC1259.12c.1:pep
III,-1,1056338,1058386,,,SPCC1259.12c,gid1,SPCC1259.12c.1,SPCC1259.12c.1:pep
III,-1,1056338,1058386,,,SPCC1259.12c,gid1,SPCC1259.12c.1,SPCC1259.12c.1:pep
III,-1,1056338,1058386,,1056338,SPCC1259.12c,gid1,SPCC1259.12c.1,SPCC1259.12c.1:pep
I,-1,4804513,4806453,4806453,4804513,SPAC22F8.10c,sap145,SPAC22F8.10c.1,SPAC22F8.10c.1:pep
III,1,1069166,1069244,,,SPCTRNALEU.11,SPCTRNALEU.11,SPCTRNALEU.11.1,
II,1,1879006,1884199,1880738,1883769,SPBC3H7.03c,SPBC3H7.03c,SPBC3H7.03c.1,SPBC3H7.03c.1:pep
III,-1,1092595,1092667,,,SPCTRNAARG.12,SPCTRNAARG.12,SPCTRNAARG.12.1,
III,-1,1096085,1096185,,,SPCTRNALEU.12,SPCTRNALEU.12,SPCTRNALEU.12.1,
III,-1,1096085,1096185,,,SPCTRNALEU.12,SPCTRNALEU.12,SPCTRNALEU.12.1,
III,1,1164174,1164978,,,SPNCRNA.486,SPNCRNA.486,SPNCRNA.486.1,
I,1,4807494,4811555,4807785,4810486,SPAC22F8.11,plc1,SPAC22F8.11.1,SPAC22F8.11.1:pep
II,-1,1894350,1905532,,1894350,SPBP16F5.03c,tra1,SPBP16F5.03c.1,SPBP16F5.03c.1:pep
I,-1,4807981,4811405,4811405,4807981,SPAC22F8.12c,shf1,SPAC22F8.12c.1,SPAC22F8.12c.1:pep
III,-1,1177720,1178984,1178984,,SPCC4B3.01,tum1,SPCC4B3.01.1,SPCC4B3.01.1:pep
III,-1,1177720,1178984,,1177720,SPCC4B3.01,tum1,SPCC4B3.01.1,SPCC4B3.01.1:pep
I,-1,4825257,4826099,4826099,,SPAC20G4.06c,adf1,SPAC20G4.06c.1,SPAC20G4.06c.1:pep
I,-1,4825257,4826099,,,SPAC20G4.06c,adf1,SPAC20G4.06c.1,SPAC20G4.06c.1:pep
I,-1,4825257,4826099,,4825257,SPAC20G4.06c,adf1,SPAC20G4.06c.1,SPAC20G4.06c.1:pep
II,1,1910124,1911815,1910179,,SPBP16F5.07,apm1,SPBP16F5.07.1,SPBP16F5.07.1:pep
II,1,1910124,1911815,,,SPBP16F5.07,apm1,SPBP16F5.07.1,SPBP16F5.07.1:pep
II,1,1910124,1911815,,,SPBP16F5.07,apm1,SPBP16F5.07.1,SPBP16F5.07.1:pep
II,1,1910124,1911815,,1911684,SPBP16F5.07,apm1,SPBP16F5.07.1,SPBP16F5.07.1:pep
III,-1,1186393,1187568,,,SPCC550.02c,cwf5,SPCC550.02c.1,SPCC550.02c.1:pep
III,-1,1186393,1187568,,,SPCC550.02c,cwf5,SPCC550.02c.1,SPCC550.02c.1:pep
III,-1,1186393,1187568,,,SPCC550.02c,cwf5,SPCC550.02c.1,SPCC550.02c.1:pep
II,1,1917406,1917613,,,SPSNORNA.40,snR42,SPSNORNA.40.1,
II,-1,1928623,1930472,,,SPNCRNA.1476,mcp4-antisense-1,SPNCRNA.1476.1,
III,1,1207623,1211442,1207662,,SPCC550.11,SPCC550.11,SPCC550.11.1,SPCC550.11.1:pep
III,1,1207623,1211442,,1211090,SPCC550.11,SPCC550.11,SPCC550.11.1,SPCC550.11.1:pep
II,-1,1935530,1938694,1938694,,SPBC16E9.11c,pub3,SPBC16E9.11c.1,SPBC16E9.11c.1:pep
II,-1,1935530,1938694,,1935530,SPBC16E9.11c,pub3,SPBC16E9.11c.1,SPBC16E9.11c.1:pep
III,1,1229431,1230662,1229723,,SPCC645.02,gep4,SPCC645.02.1,SPCC645.02.1:pep
III,1,1229431,1230662,,1230408,SPCC645.02,gep4,SPCC645.02.1,SPCC645.02.1:pep
I,-1,4826601,4828141,4828141,4826601,SPAC20G4.07c,sts1,SPAC20G4.07c.1,SPAC20G4.07c.1:pep
II,1,1965390,1969387,,,SPBC1E8.04,Tf2-10,SPBC1E8.04.1,SPBC1E8.04.1:pep
II,1,1965390,1969387,,,SPBC1E8.04,Tf2-10,SPBC1E8.04.1,SPBC1E8.04.1:pep
III,1,1253193,1253287,,,SPCTRNASER.10,SPCTRNASER.10,SPCTRNASER.10.1,
III,1,1253193,1253287,,,SPCTRNASER.10,SPCTRNASER.10,SPCTRNASER.10.1,
III,1,1267979,1268560,,,SPNCRNA.1183,SPCC23B6.02c-antisense-1,SPNCRNA.1183.1,
I,1,4843779,4846395,4844140,,SPAC4F10.08,mug126,SPAC4F10.08.1,SPAC4F10.08.1:pep
I,1,4843779,4846395,4844280,,SPAC4F10.08,mug126,SPAC4F10.08.1,SPAC4F10.08.1:pep
I,1,4843779,4846395,4844854,,SPAC4F10.08,mug126,SPAC4F10.08.1,SPAC4F10.08.1:pep
I,1,4843779,4846395,,,SPAC4F10.08,mug126,SPAC4F10.08.1,SPAC4F10.08.1:pep
I,1,4843779,4846395,,4846130,SPAC4F10.08,mug126,SPAC4F10.08.1,SPAC4F10.08.1:pep
I,-1,4849746,4851840,4851840,4849746,SPAC4F10.10c,mnn9,SPAC4F10.10c.1,SPAC4F10.10c.1:pep
II,-1,1976161,1982842,1982842,,SPBC1A4.03c,top2,SPBC1A4.03c.1,SPBC1A4.03c.1:pep
II,-1,1976161,1982842,,1976161,SPBC1A4.03c,top2,SPBC1A4.03c.1,SPBC1A4.03c.1:pep
III,1,1286193,1287531,1286349,1287406,SPCC1322.02,pxd1,SPCC1322.02.1,SPCC1322.02.1:pep
I,1,4852998,4855199,4853085,,SPAC4F10.11,spn1,SPAC4F10.11.1,SPAC4F10.11.1:pep
I,1,4852998,4855199,,,SPAC4F10.11,spn1,SPAC4F10.11.1,SPAC4F10.11.1:pep
I,1,4852998,4855199,,4854578,SPAC4F10.11,spn1,SPAC4F10.11.1,SPAC4F10.11.1:pep
III,1,1321392,1322217,1321586,1321923,SPCC1322.15,rpl3402,SPCC1322.15.1,SPCC1322.15.1:pep
II,1,2000973,2003598,2001134,,SPBP23A10.04,apc2,SPBP23A10.04.1,SPBP23A10.04.1:pep
II,1,2000973,2003598,,,SPBP23A10.04,apc2,SPBP23A10.04.1,SPBP23A10.04.1:pep
II,1,2000973,2003598,,2003270,SPBP23A10.04,apc2,SPBP23A10.04.1,SPBP23A10.04.1:pep
II,1,2023299,2025187,2023948,,SPBP23A10.12,frg1,SPBP23A10.12.1,SPBP23A10.12.1:pep
II,1,2023299,2025187,,,SPBP23A10.12,frg1,SPBP23A10.12.1,SPBP23A10.12.1:pep
II,1,2023299,2025187,,,SPBP23A10.12,frg1,SPBP23A10.12.1,SPBP23A10.12.1:pep
II,1,2023299,2025187,,2024890,SPBP23A10.12,frg1,SPBP23A10.12.1,SPBP23A10.12.1:pep
II,1,2032410,2032528,,,SPRRNA.39,SPRRNA.39,SPRRNA.39.1,
III,-1,1332569,1336197,1336197,1332569,SPCC132.04c,gdh2,SPCC132.04c.1,SPCC132.04c.1:pep
III,1,1358647,1360719,,,SPNCRNA.1189,ctp1-antisense-1,SPNCRNA.1189.1,
I,-1,4856730,4860090,4860090,,SPAC4F10.13c,mpd2,SPAC4F10.13c.1,SPAC4F10.13c.1:pep
I,-1,4856730,4860090,,4856730,SPAC4F10.13c,mpd2,SPAC4F10.13c.1,SPAC4F10.13c.1:pep
II,-1,2042152,2044042,2044042,,SPBC29A3.03c,gid2,SPBC29A3.03c.1,SPBC29A3.03c.1:pep
II,-1,2042152,2044042,,2042152,SPBC29A3.03c,gid2,SPBC29A3.03c.1,SPBC29A3.03c.1:pep
II,1,2044411,2044505,,,SPSNORNA.25,snoZ30,SPSNORNA.25.1,
III,-1,1367724,1368405,1368405,,SPCC338.04,cid2,SPCC338.04.1,SPCC338.04.1:pep
III,-1,1367724,1368405,,1367724,SPCC338.04,cid2,SPCC338.04.1,SPCC338.04.1:pep
II,-1,2076986,2079050,2079050,,SPBC18E5.02c,SPBC18E5.02c,SPBC18E5.02c.1,SPBC18E5.02c.1:pep
II,-1,2076986,2079050,,,SPBC18E5.02c,SPBC18E5.02c,SPBC18E5.02c.1,SPBC18E5.02c.1:pep
II,-1,2076986,2079050,,,SPBC18E5.02c,SPBC18E5.02c,SPBC18E5.02c.1,SPBC18E5.02c.1:pep
II,-1,2076986,2079050,,2076986,SPBC18E5.02c,SPBC18E5.02c,SPBC18E5.02c.1,SPBC18E5.02c.1:pep
III,1,1404560,1405667,1405075,1405460,SPCC622.02,SPCC622.02,SPCC622.02.1,SPCC622.02.1:pep
II,1,2091892,2092234,,,SPBC18E5.15,SPBC18E5.15,SPBC18E5.15.1,
II,1,2091892,2092234,,,SPBC18E5.15,SPBC18E5.15,SPBC18E5.15.1,
III,-1,1407001,1407850,,,SPNCRNA.1193,SPNCRNA.1193,SPNCRNA.1193.1,
II,1,2096190,2096847,,,SPNCRNA.536,mas2-antisense-1,SPNCRNA.536.1,
I,1,4874165,4875051,4874268,,SPAC4F10.20,grx1,SPAC4F10.20.1,SPAC4F10.20.1:pep
I,1,4874165,4875051,,,SPAC4F10.20,grx1,SPAC4F10.20.1,SPAC4F10.20.1:pep
I,1,4874165,4875051,,,SPAC4F10.20,grx1,SPAC4F10.20.1,SPAC4F10.20.1:pep
I,1,4874165,4875051,,4874960,SPAC4F10.20,grx1,SPAC4F10.20.1,SPAC4F10.20.1:pep
III,1,1417100,1419224,,,SPCC622.11,SPCC622.11,SPCC622.11.1,SPCC622.11.1:pep
III,1,1417100,1419224,,1418984,SPCC622.11,SPCC622.11,SPCC622.11.1,SPCC622.11.1:pep
II,-1,2101254,2103827,2103827,2101254,SPBC23G7.04c,nif1,SPBC23G7.04c.1,SPBC23G7.04c.1:pep
III,1,1431135,1433068,,,SPNCRNA.67,prl67,SPNCRNA.67.1,
II,1,2104179,2105331,,,SPNCRNA.387,SPNCRNA.387,SPNCRNA.387.1,
I,1,4882814,4889915,4883997,4889479,SPAC19B12.03,bgs3,SPAC19B12.03.1,SPAC19B12.03.1:pep
I,-1,4889798,4890204,,,SPNCRNA.1034,SPNCRNA.1034,SPNCRNA.1034.1,
II,1,2105527,2106309,2105625,,SPBC23G7.05,sui1,SPBC23G7.05.1,SPBC23G7.05.1:pep
II,1,2105527,2106309,,2106171,SPBC23G7.05,sui1,SPBC23G7.05.1,SPBC23G7.05.1:pep
III,1,1437118,1438010,1437152,1437741,SPCC622.18,rpl6,SPCC622.18.1,SPCC622.18.1:pep
II,1,2114449,2115027,2114481,,SPBC23G7.09,mat1-Mc,SPBC23G7.09.1,SPBC23G7.09.1:pep
I,1,4912237,4914182,4912296,4913614,SPAPB8E5.03,mae1,SPAPB8E5.03.1,SPAPB8E5.03.1:pep
III,1,1438134,1439921,1438374,,SPCC622.19,jmj4,SPCC622.19.1,SPCC622.19.1:pep
III,1,1438134,1439921,,1439840,SPCC622.19,jmj4,SPCC622.19.1,SPCC622.19.1:pep
II,1,2141222,2142836,2141267,2142624,SPBC1711.05,SPBC1711.05,SPBC1711.05.1,SPBC1711.05.1:pep
II,-1,2163936,2167085,,,SPNCRNA.1491,SPNCRNA.1491,SPNCRNA.1491.1,
I,1,4916603,4917521,4916841,,SPAPB8E5.05,mfm1,SPAPB8E5.05.1,SPAPB8E5.05.1:pep
I,1,4916603,4917521,4917098,,SPAPB8E5.05,mfm1,SPAPB8E5.05.1,SPAPB8E5.05.1:pep
I,1,4916603,4917521,,4917299,SPAPB8E5.05,mfm1,SPAPB8E5.05.1,SPAPB8E5.05.1:pep
III,-1,1446214,1447630,1447630,,SPCC61.04c,SPCC61.04c,SPCC61.04c.1,SPCC61.04c.1:pep
III,-1,1446214,1447630,,,SPCC61.04c,SPCC61.04c,SPCC61.04c.1,SPCC61.04c.1:pep
III,-1,1446214,1447630,,1446214,SPCC61.04c,SPCC61.04c,SPCC61.04c.1,SPCC61.04c.1:pep
III,-1,1474219,1474427,,,SPRRNA.04,SPRRNA.04,SPRRNA.04.1,
I,1,4926480,4928138,4926537,,SPAPB8E5.10,SPAPB8E5.10,SPAPB8E5.10.1,SPAPB8E5.10.1:pep
I,1,4926480,4928138,,,SPAPB8E5.10,SPAPB8E5.10,SPAPB8E5.10.1,SPAPB8E5.10.1:pep
I,1,4926480,4928138,,4926873,SPAPB8E5.10,SPAPB8E5.10,SPAPB8E5.10.1,SPAPB8E5.10.1:pep
III,1,1475034,1475116,,,SPCTRNALYS.12,SPCTRNALYS.12,SPCTRNALYS.12.1,
III,1,1475034,1475116,,,SPCTRNALYS.12,SPCTRNALYS.12,SPCTRNALYS.12.1,
I,1,4931204,4933354,,,SPNCRNA.564,SPAC1B3.04c-antisense-1,SPNCRNA.564.1,
II,1,2187455,2189134,2187711,2189053,SPBC17G9.09,tif213,SPBC17G9.09.1,SPBC17G9.09.1:pep
II,1,2205437,2207373,2205553,2206838,SPBC14C8.02,tim44,SPBC14C8.02.1,SPBC14C8.02.1:pep
I,1,4954542,4955675,4954633,,SPAC1B3.14,vma3,SPAC1B3.14.1,SPAC1B3.14.1:pep
I,1,4954542,4955675,,,SPAC1B3.14,vma3,SPAC1B3.14.1,SPAC1B3.14.1:pep
I,1,4954542,4955675,,,SPAC1B3.14,vma3,SPAC1B3.14.1,SPAC1B3.14.1:pep
I,1,4954542,4955675,,,SPAC1B3.14,vma3,SPAC1B3.14.1,SPAC1B3.14.1:pep
I,1,4954542,4955675,,4955444,SPAC1B3.14,vma3,SPAC1B3.14.1,SPAC1B3.14.1:pep
II,1,2225083,2228837,2225387,2226144,SPBC14C8.13,ber1,SPBC14C8.13.1,SPBC14C8.13.1:pep
I,1,4969822,4970737,4969891,,SPAC1952.02,tma23,SPAC1952.02.1,SPAC1952.02.1:pep
I,1,4969822,4970737,,,SPAC1952.02,tma23,SPAC1952.02.1,SPAC1952.02.1:pep
I,1,4969822,4970737,,4970646,SPAC1952.02,tma23,SPAC1952.02.1,SPAC1952.02.1:pep
II,-1,2225986,2229087,2229087,,SPBC14C8.14c,pol5,SPBC14C8.14c.1,SPBC14C8.14c.1:pep
II,-1,2225986,2229087,,2225986,SPBC14C8.14c,pol5,SPBC14C8.14c.1,SPBC14C8.14c.1:pep
II,-1,2251411,2253713,2253713,2251411,SPBC15C4.06c,SPBC15C4.06c,SPBC15C4.06c.1,SPBC15C4.06c.1:pep
I,-1,4981215,4984035,4984035,4981215,SPAC1952.09c,SPAC1952.09c,SPAC1952.09c.1,SPAC1952.09c.1:pep
II,1,2258786,2261031,2258813,2260944,SPBC21H7.04,dbp7,SPBC21H7.04.1,SPBC21H7.04.1:pep
II,-1,2261371,2261489,,,SPRRNA.34,SPRRNA.34,SPRRNA.34.1,
II,1,2261925,2264164,2262213,,SPBC21H7.05,sfc6,SPBC21H7.05.1,SPBC21H7.05.1:pep
II,1,2261925,2264164,,,SPBC21H7.05,sfc6,SPBC21H7.05.1,SPBC21H7.05.1:pep
II,1,2261925,2264164,,,SPBC21H7.05,sfc6,SPBC21H7.05.1,SPBC21H7.05.1:pep
II,1,2261925,2264164,,2264095,SPBC21H7.05,sfc6,SPBC21H7.05.1,SPBC21H7.05.1:pep
I,-1,5022786,5023906,5023906,,SPAC22E12.03c,sdj1,SPAC22E12.03c.1,SPAC22E12.03c.1:pep
I,-1,5022786,5023906,,5022786,SPAC22E12.03c,sdj1,SPAC22E12.03c.1,SPAC22E12.03c.1:pep
III,-1,1504949,1510574,1510574,1504949,SPCC188.13c,dcr1,SPCC188.13c.1,SPCC188.13c.1:pep
II,-1,2288882,2290179,2290179,2288882,SPBC16H5.06,rip1,SPBC16H5.06.1,SPBC16H5.06.1:pep
II,1,2319292,2319363,,,SPBTRNAPRO.06,SPBTRNAPRO.06,SPBTRNAPRO.06.1,
I,1,5030439,5033261,5031783,5032945,SPAC22E12.07,rna1,SPAC22E12.07.1,SPAC22E12.07.1:pep
III,-1,1531314,1535116,1535116,1531314,SPCC584.03c,SPCC584.03c,SPCC584.03c.1,SPCC584.03c.1:pep
II,-1,2319758,2320292,2320292,,SPBC12D12.08c,ned8,SPBC12D12.08c.1,SPBC12D12.08c.1:pep
II,-1,2319758,2320292,,,SPBC12D12.08c,ned8,SPBC12D12.08c.1,SPBC12D12.08c.1:pep
II,-1,2319758,2320292,,,SPBC12D12.08c,ned8,SPBC12D12.08c.1,SPBC12D12.08c.1:pep
II,-1,2319758,2320292,,2319758,SPBC12D12.08c,ned8,SPBC12D12.08c.1,SPBC12D12.08c.1:pep
I,1,5033373,5034586,5033477,,SPAC22E12.08,rrn10,SPAC22E12.08.1,SPAC22E12.08.1:pep
I,1,5033373,5034586,,5033824,SPAC22E12.08,rrn10,SPAC22E12.08.1,SPAC22E12.08.1:pep
III,1,1546777,1547989,,,SPNCRNA.132,tos3,SPNCRNA.132.1,
I,-1,5095073,5095925,5095925,,SPAC1250.05,rpl3002,SPAC1250.05.1,SPAC1250.05.1:pep
I,-1,5095073,5095925,,5095073,SPAC1250.05,rpl3002,SPAC1250.05.1,SPAC1250.05.1:pep
III,1,1589427,1592889,1591358,1592412,SPCC13B11.01,adh1,SPCC13B11.01.1,SPCC13B11.01.1:pep
I,1,5106559,5113025,5106860,,SPAC29A4.19c,cta5,SPAC29A4.19c.1,SPAC29A4.19c.1:pep
I,1,5106559,5113025,,,SPAC29A4.19c,cta5,SPAC29A4.19c.1,SPAC29A4.19c.1:pep
